combination,train_RMSE,test_RMSE,train_R2,test_R2,train_std_diff,test_std_diff,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
110,0.31571299530803365,17.68112869571595,0.9997093525299455,-0.14754688424815687,0.017048386142226212,1.0712361477508854,0.1,1.0,3,1,50
111,0.3044214098342298,17.679206046442122,0.9997297709617005,-0.14729732888737956,0.016438644661272792,1.0711196613298533,0.1,1.0,3,1,100
112,5.356050750975371,20.105066067407698,0.9163490270207626,-0.48375254460157047,0.289224779331297,1.2180938160099042,0.1,1.0,3,10,10
113,2.4913172727238133,18.566299323118958,0.9819016197767483,-0.2653223032615999,0.1345302204831753,1.1248654600713812,0.1,1.0,3,10,50
114,2.48158967234831,18.584884256627447,0.9820426777642004,-0.2678567556292857,0.13400493362484678,1.1259914545098846,0.1,1.0,3,10,100
115,11.423401562317231,17.763990004126832,0.6194843554509495,-0.1583278753940729,0.6168595014661366,1.0762564171209723,0.1,1.0,3,100,10
116,10.650507430549808,17.34250883710801,0.6692329581824921,-0.10401332847692202,0.5751235013608017,1.0507203854865108,0.1,1.0,3,100,50
117,10.650507430549808,17.34250883710801,0.6692329581824921,-0.10401332847692202,0.5751235013608017,1.0507203854865108,0.1,1.0,3,100,100
118,1.38249070397371,19.36809858934323,0.9944267815099795,-0.37696988415205235,0.07465399178892214,1.1734436007546558,0.1,1.0,5,1,10
119,0.32104470202999685,19.174020716446694,0.9996994528287643,-0.34951231521261317,0.01733629635290489,1.1616851187876227,0.1,1.0,5,1,50
120,0.3195202722340411,19.173683678954777,0.9997023002534546,-0.34946487265945825,0.017253977702122676,1.1616646988952786,0.1,1.0,5,1,100
121,4.084932029892739,18.997366318704845,0.9513423310808863,-0.3247601689688693,0.2205848338374916,1.1509822626647506,0.1,1.0,5,10,10
122,2.425792597341348,17.749519432095504,0.9828411189891049,-0.15644149289624631,0.13099191200564694,1.0753796970820335,0.1,1.0,5,10,50
123,2.425792597341348,17.749519432095504,0.9828411189891049,-0.15644149289624631,0.13099191200564694,1.0753796970820335,0.1,1.0,5,10,100
124,11.423401562317231,17.763990004126832,0.6194843554509495,-0.1583278753940729,0.6168595014661366,1.0762564171209723,0.1,1.0,5,100,10
125,10.650507430549808,17.34250883710801,0.6692329581824921,-0.10401332847692202,0.5751235013608017,1.0507203854865108,0.1,1.0,5,100,50
126,10.650507430549808,17.34250883710801,0.6692329581824921,-0.10401332847692202,0.5751235013608017,1.0507203854865108,0.1,1.0,5,100,100
127,0.9309206299309364,18.089413040052676,0.9974729901239393,-0.2011560084474331,0.05026937314171187,1.095972631249263,0.1,1.0,8,1,10
128,0.30503457969296627,18.0017424643746,0.9997286812671534,-0.18954138557783873,0.01647175560912058,1.0906609856311165,0.1,1.0,8,1,50
129,0.30503457969296627,18.0017424643746,0.9997286812671534,-0.18954138557783873,0.01647175560912058,1.0906609856311165,0.1,1.0,8,1,100
130,4.205480361581287,18.162916159855637,0.9484281336668753,-0.21093720881651334,0.22709439960757455,1.1004259215487944,0.1,1.0,8,10,10
131,2.396500376113748,17.417950487462058,0.9832530149442964,-0.11363935723041152,0.1294101427852688,1.0552911243966812,0.1,1.0,8,10,50
132,2.396500376113748,17.417950487462058,0.9832530149442964,-0.11363935723041152,0.1294101427852688,1.0552911243966812,0.1,1.0,8,10,100
133,11.423401562317231,17.763990004126832,0.6194843554509495,-0.1583278753940729,0.6168595014661366,1.0762564171209723,0.1,1.0,8,100,10
134,10.650507430549808,17.34250883710801,0.6692329581824921,-0.10401332847692202,0.5751235013608017,1.0507203854865108,0.1,1.0,8,100,50
135,10.650507430549808,17.34250883710801,0.6692329581824921,-0.10401332847692202,0.5751235013608017,1.0507203854865108,0.1,1.0,8,100,100
136,0.9425654606949507,17.99006006183515,0.9974093742812938,-0.18799795808656117,0.050898189738989075,1.0899531907777331,0.1,1.0,10,1,10
137,0.3033522590815582,17.852533801972555,0.9997316657576892,-0.16990391871391108,0.016380910912118716,1.0816209681371338,0.1,1.0,10,1,50
138,0.3033522590815582,17.852533801972555,0.9997316657576892,-0.16990391871391108,0.016380910912118716,1.0816209681371338,0.1,1.0,10,1,100
139,4.205480361581287,18.162916159855637,0.9484281336668753,-0.21093720881651334,0.22709439960757455,1.1004259215487944,0.1,1.0,10,10,10
140,2.396500376113748,17.417950487462058,0.9832530149442964,-0.11363935723041152,0.1294101427852688,1.0552911243966812,0.1,1.0,10,10,50
141,2.396500376113748,17.417950487462058,0.9832530149442964,-0.11363935723041152,0.1294101427852688,1.0552911243966812,0.1,1.0,10,10,100
142,11.423401562317231,17.763990004126832,0.6194843554509495,-0.1583278753940729,0.6168595014661366,1.0762564171209723,0.1,1.0,10,100,10
143,10.650507430549808,17.34250883710801,0.6692329581824921,-0.10401332847692202,0.5751235013608017,1.0507203854865108,0.1,1.0,10,100,50
144,10.650507430549808,17.34250883710801,0.6692329581824921,-0.10401332847692202,0.5751235013608017,1.0507203854865108,0.1,1.0,10,100,100
145,18.42646807941479,19.135198170997633,0.009930166620423453,-0.344053005014739,0.9950225290814156,1.159333000054229,0.3,0.001,3,1,10
146,18.035567286770956,18.969314130733625,0.051491463309574215,-0.3208506814140104,0.9739140294145197,1.1492826812468768,0.3,0.001,3,1,50
147,17.54348947915565,18.705450034313223,0.10254311990300491,-0.2843600556915311,0.9473420079870811,1.133296102389632,0.3,0.001,3,1,100
148,18.435792072126368,19.138032753464696,0.008927940966994563,-0.34445123567138336,0.995526021273681,1.1595047372354212,0.3,0.001,3,10,10
149,18.076167668376147,18.972955118451058,0.04721622724980501,-0.32135778068135346,0.9761064351545865,1.1495032756288055,0.3,0.001,3,10,50
150,17.623602457101875,18.73189919363461,0.09432786653450953,-0.2879947461506074,0.951668079461264,1.134898562053282,0.3,0.001,3,10,100
151,18.483729689621534,19.15421762372486,0.00376717526879089,-0.34672617898722735,0.9981146350651359,1.1604853204531402,0.3,0.001,3,100,10
152,18.317165379393135,19.076781503999662,0.02164118385195557,-0.3358591782070619,0.9891202233035399,1.1557937437999315,0.3,0.001,3,100,50
153,18.11071595234406,18.972241984111506,0.04357070885389136,-0.3212584510942451,0.9779720298383326,1.1494600693778994,0.3,0.001,3,100,100
154,18.409315722188598,19.13801592543827,0.011772530277881721,-0.34444887132691093,0.994096308071868,1.159503717685679,0.3,0.001,5,1,10
155,17.960137637732338,18.97506452277514,0.05940871405945769,-0.32165161290126343,0.9698408559864563,1.1496310768682547,0.3,0.001,5,1,50
156,17.41240692901086,18.723005288128437,0.11590436575393093,-0.2867719567305569,0.9402635982776686,1.1343597122300124,0.3,0.001,5,1,100
157,18.42509834174428,19.14053876879434,0.0100773554942718,-0.34480335503909965,0.9949485637487641,1.1596565677126567,0.3,0.001,5,10,10
158,18.02573113545756,18.98542819172173,0.05252576727731839,-0.32309570815292266,0.9733828808452929,1.1502589743848655,0.3,0.001,5,10,50
159,17.54244929128269,18.75883616857427,0.10264954070247767,-0.2917017518080398,0.9472858382228262,1.13653057671496,0.3,0.001,5,10,100
160,18.48271122940481,19.155168506516464,0.0038769578248611936,-0.34685989476304013,0.9980596385863617,1.1605429310297142,0.3,0.001,5,100,10
161,18.311146319725466,19.08299755625897,0.022284059802757827,-0.33672988308224294,0.9887951962854806,1.156170352103116,0.3,0.001,5,100,50
162,18.10020376650324,18.982193694792723,0.044680686455995544,-0.32264492195901706,0.9774043756521681,1.1500630078213179,0.3,0.001,5,100,100
163,18.40842809334635,19.13837607548207,0.011867825298174761,-0.34449947300660355,0.9940483764394091,1.1595255378846139,0.3,0.001,8,1,10
164,17.95085457966459,18.967327019541433,0.0603807897928893,-0.32057396717105213,0.9693395742499689,1.1491622893095006,0.3,0.001,8,1,50
165,17.39515511879057,18.707543182134817,0.11765538092057226,-0.2846475126478558,0.9393320068428562,1.133422918705924,0.3,0.001,8,1,100
166,18.42484235457559,19.14085589250441,0.010104862075777432,-0.3448479172708445,0.9949347405353893,1.1596757811004093,0.3,0.001,8,10,10
167,18.023525976320286,18.982560958340407,0.052757569654466985,-0.3226961029735358,0.9732638030593417,1.1500852590019297,0.3,0.001,8,10,50
168,17.537956003853953,18.75177250297082,0.10310917288838017,-0.29072915081118667,0.9470432023469784,1.1361026145604922,0.3,0.001,8,10,100
169,18.48271122940481,19.155168506516464,0.0038769578248611936,-0.34685989476304013,0.9980596385863617,1.1605429310297142,0.3,0.001,8,100,10
170,18.311146319725466,19.08299755625897,0.022284059802757827,-0.33672988308224294,0.9887951962854806,1.156170352103116,0.3,0.001,8,100,50
171,18.10020376650324,18.982193694792723,0.044680686455995544,-0.32264492195901706,0.9774043756521681,1.1500630078213179,0.3,0.001,8,100,100
172,18.40842565416386,19.138377305827756,0.011868087160244567,-0.3444996458738492,0.9940482447244477,1.1595256124268445,0.3,0.001,10,1,10
173,17.950673710195833,18.966983348632937,0.06039972455395548,-0.3205261123791825,0.9693298073648848,1.1491414675222467,0.3,0.001,10,1,50
174,17.394687878013123,18.70693576977337,0.11770278053801131,-0.2845640919545245,0.9393067760119634,1.1333861177703406,0.3,0.001,10,1,100
175,18.42484235457559,19.14085589250441,0.010104862075777432,-0.3448479172708445,0.9949347405353893,1.1596757811004093,0.3,0.001,10,10,10
176,18.023525976320286,18.982560958340407,0.052757569654466985,-0.3226961029735358,0.9732638030593417,1.1500852590019297,0.3,0.001,10,10,50
177,17.537956003853953,18.75177250297082,0.10310917288838017,-0.29072915081118667,0.9470432023469784,1.1361026145604922,0.3,0.001,10,10,100
178,18.48271122940481,19.155168506516464,0.0038769578248611936,-0.34685989476304013,0.9980596385863617,1.1605429310297142,0.3,0.001,10,100,10
179,18.311146319725466,19.08299755625897,0.022284059802757827,-0.33672988308224294,0.9887951962854806,1.156170352103116,0.3,0.001,10,100,50
180,18.10020376650324,18.982193694792723,0.044680686455995544,-0.32264492195901706,0.9774043756521681,1.1500630078213179,0.3,0.001,10,100,100
181,17.622796217624835,18.89940216945199,0.09441072949363527,-0.31113255516352734,0.951624542824724,1.1450469663570693,0.3,0.01,3,1,10
182,14.311884948393258,17.527907148742077,0.40272367217710736,-0.12774418265987997,0.7728365466402923,1.0619530039789329,0.3,0.01,3,1,50
183,11.156017923610557,15.949674485394684,0.6370890798656754,0.06619947090115852,0.6024208828836569,0.9663335496084369,0.3,0.01,3,1,100
184,17.714134749106126,18.927561917922215,0.08499910735309579,-0.31504259089346953,0.9565567900793472,1.1467530644796504,0.3,0.01,3,10,10
185,14.675361492246068,17.65410983337529,0.37200057585524626,-0.1440423883695663,0.7924641469143912,1.069599171825393,0.3,0.01,3,10,50
186,11.763277369250602,16.229142083087098,0.5965048631238878,0.03318897888422856,0.6352126705884511,0.9832654886223614,0.3,0.01,3,10,100
187,18.177961969665898,19.079177799644448,0.03645498076613607,-0.3361948023878152,0.9816032901502846,1.1559389267551359,0.3,0.01,3,100,10
188,16.755314910593764,18.44617616946964,0.18137157748096444,-0.24900210892716879,0.9047808698900722,1.1175876291938671,0.3,0.01,3,100,50
189,15.469292764412735,17.791756156342878,0.30221352502673016,-0.16195177338977063,0.8353361448981302,1.0779386686587369,0.3,0.01,3,100,100
190,17.456755454384044,18.92449713975454,0.11139513636817944,-0.3146167581800443,0.942658402408752,1.1465673805669008,0.3,0.01,5,1,10
191,13.693668041282208,17.632178128135504,0.45320917201470956,-0.14120166566802528,0.73945306002835,1.0682704084959134,0.3,0.01,5,1,50
192,10.2423208038256,16.169677450005,0.6941007736265319,0.04026091612386318,0.5530815729831072,0.9796627398631309,0.3,0.01,5,1,100
193,17.611872668384983,18.95329232807215,0.095533046632585,-0.3186203981519662,0.9510346751656404,1.1483119777098756,0.3,0.01,5,10,10
